ARGgene	lncRNA	cor	pvalue
ATG4D	APCDD1L-DT	-0.302300015002726	0.000198154887633009
CDKN1B	APCDD1L-DT	-0.303907935533136	0.000182460219272445
EEF2	APCDD1L-DT	-0.334167166179393	3.5260419492954e-05
MTMR14	APCDD1L-DT	-0.369061229374688	4.22737687471647e-06
PARP1	APCDD1L-DT	-0.333909708738324	3.57837013582814e-05
RAF1	APCDD1L-DT	-0.319961848147791	7.79616584661051e-05
ARNT	AL136084.3	0.340841232105328	2.39575802644507e-05
ARSB	AL136084.3	0.615755269751345	1.04157679701534e-16
BIRC6	AL136084.3	0.354444964896611	1.05982946955939e-05
CANX	AL136084.3	0.355339501453861	1.00315123061716e-05
CCL2	AL136084.3	0.697092514015878	1.05382987810404e-22
CCR2	AL136084.3	0.599078187978278	1.09717488034334e-15
DIRAS3	AL136084.3	0.319689804097705	7.91252380137117e-05
DLC1	AL136084.3	0.76366237797613	2.40863837307447e-29
DRAM1	AL136084.3	0.322067520569177	6.948207662873e-05
EDEM1	AL136084.3	0.443260181568904	1.88267881715274e-08
EIF2AK3	AL136084.3	0.334390336327488	3.48126530667756e-05
ERN1	AL136084.3	0.327007429927099	5.28564378337469e-05
FOXO1	AL136084.3	0.315765367807324	9.78245842666232e-05
ITPR1	AL136084.3	0.42424598531513	8.55898527098829e-08
MBTPS2	AL136084.3	0.350823810549312	1.32168257784408e-05
PRKAR1A	AL136084.3	0.367779504576346	4.59052244834912e-06
WDFY3	AL136084.3	0.325052495651306	5.89314577860209e-05
WIPI1	AL136084.3	0.385858290261447	1.38884465266174e-06
ATF4	VIM-AS1	0.313992132908553	0.000107562645805173
ATG10	VIM-AS1	0.388551357289372	1.15509654804951e-06
ATG12	VIM-AS1	0.399263787540165	5.45944902937942e-07
ATG4C	VIM-AS1	0.361266903524411	6.94014553474936e-06
ATG5	VIM-AS1	0.423143425626762	9.31819123165536e-08
BAX	VIM-AS1	0.321425169527552	7.19726226585166e-05
BNIP1	VIM-AS1	0.37043327507356	3.86890095764623e-06
CTSB	VIM-AS1	0.332244537177338	3.93484331232437e-05
DRAM1	VIM-AS1	0.328011014478476	4.99708573183153e-05
FAS	VIM-AS1	0.308385899608965	0.00014463416375761
GABARAP	VIM-AS1	0.361786733479935	6.71713451227547e-06
GABARAPL2	VIM-AS1	0.30946439507005	0.000136687355685691
RGS19	VIM-AS1	0.390344995131953	1.02074678026068e-06
RHEB	VIM-AS1	0.341755324553041	2.27066839909357e-05
SERPINA1	VIM-AS1	0.368067171956307	4.50653306525724e-06
TUSC1	VIM-AS1	0.317756895185843	8.78724024250132e-05
ARNT	AC130371.2	0.377275504542365	2.47189045084545e-06
ERBB2	AC130371.2	0.341982909027693	2.24049500008468e-05
SIRT2	AC130371.2	0.306845481485368	0.000156733510492086
ATG12	AC093388.1	0.316287004745259	9.51206788690364e-05
BIRC5	AC093388.1	0.366847545732582	4.87293094564735e-06
BNIP1	AC093388.1	0.480183814421727	7.52895350976852e-10
CLN3	AC093388.1	0.360452140943206	7.30383763487851e-06
RAC1	AC093388.1	0.491318861881444	2.63921243970774e-10
ATG4D	LINC01116	-0.40002442148537	5.17132168323562e-07
BCL2	LINC01116	-0.320084637567809	7.74417276041029e-05
CDKN1B	LINC01116	-0.378572578606876	2.26801450499781e-06
CXCR4	LINC01116	-0.300570618937545	0.000216430416495331
ERBB2	LINC01116	-0.333546545088301	3.65342477359912e-05
ITGA3	LINC01116	0.364457004606983	5.67452307009475e-06
ITGA6	LINC01116	0.309237359700549	0.000138325630220082
ITGB1	LINC01116	0.44681071689115	1.4042453558748e-08
P4HB	LINC01116	0.307863615981465	0.000148635405331759
TSC2	LINC01116	-0.305197815113083	0.00017071440931478
ULK3	LINC01116	-0.30691578161953	0.000156161407101842
ATG16L2	AC010326.3	0.464067720747969	3.21665537627764e-09
ATG4B	AC010326.3	0.365136445309897	5.43481902634911e-06
BAX	AC010326.3	0.411295477318311	2.27897627092188e-07
CAPN10	AC010326.3	0.427974122153242	6.4067717840856e-08
RAB24	AC010326.3	0.388167431775236	1.18596431978113e-06
WDR45	AC010326.3	0.340281708947521	2.47549772027082e-05
ATF4	AL355488.1	0.465554510738015	2.82215812032263e-09
ATG10	AL355488.1	0.497773932308895	1.41244686253236e-10
ATG16L2	AL355488.1	0.507576158106582	5.32964836065225e-11
ATG3	AL355488.1	0.357649278894386	8.69758098884603e-06
ATG4B	AL355488.1	0.430969082131984	5.06394490893815e-08
ATG4C	AL355488.1	0.444782084637522	1.6610177893225e-08
ATG4D	AL355488.1	0.560103893608775	1.63121328342477e-13
