Node	Type
AC010326.3	lncRNA
AL160006.1	lncRNA
AL122010.1	lncRNA
AC139530.1	lncRNA
AC092747.4	lncRNA
AL139287.1	lncRNA
MIR503HG	lncRNA
AC009318.2	lncRNA
LINC01711	lncRNA
LINC02560	lncRNA
ATG16L2	mRNA
ATG4B	mRNA
BAX	mRNA
CAPN10	mRNA
RAB24	mRNA
WDR45	mRNA
ARNT	mRNA
ATG2A	mRNA
BECN1	mRNA
EEF2K	mRNA
ERBB2	mRNA
HDAC6	mRNA
MAPK8	mRNA
NFKB1	mRNA
PARP1	mRNA
PRKAB1	mRNA
RAF1	mRNA
TP73	mRNA
TSC1	mRNA
TSC2	mRNA
CDKN1B	mRNA
HSPA8	mRNA
IKBKB	mRNA
ULK3	mRNA
ATF4	mRNA
CHMP4B	mRNA
CLN3	mRNA
DAPK2	mRNA
GAA	mRNA
ITGB1	mRNA
LAMP1	mRNA
MAP2K7	mRNA
MLST8	mRNA
P4HB	mRNA
PELP1	mRNA
SPHK1	mRNA
STK11	mRNA
ST13	mRNA
ARSB	mRNA
ATF6	mRNA
ATG9B	mRNA
CANX	mRNA
FOXO1	mRNA
HIF1A	mRNA
MBTPS2	mRNA
PEA15	mRNA
PTK6	mRNA
FKBP1A	mRNA
IL24	mRNA
HSP90AB1	mRNA
TBK1	mRNA
MAPK8IP1	mRNA
GOPC	mRNA
MAPK3	mRNA
MAPK9	mRNA
NBR1	mRNA
RAB11A	mRNA
TM9SF1	mRNA
TP53INP2	mRNA
