ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006914	autophagy	27/59	496/18670	3.13183153209121e-27	3.66737472407881e-24	2.37195030246276e-24	ATG16L2/ATG4B/RAB24/WDR45/ATG2A/BECN1/HDAC6/MAPK8/PRKAB1/TSC1/TSC2/HSPA8/ULK3/CHMP4B/CLN3/DAPK2/MLST8/STK11/ARSB/ATG9B/FOXO1/HIF1A/TBK1/MAPK3/NBR1/TM9SF1/TP53INP2	27
BP	GO:0061919	process utilizing autophagic mechanism	27/59	496/18670	3.13183153209121e-27	3.66737472407881e-24	2.37195030246276e-24	ATG16L2/ATG4B/RAB24/WDR45/ATG2A/BECN1/HDAC6/MAPK8/PRKAB1/TSC1/TSC2/HSPA8/ULK3/CHMP4B/CLN3/DAPK2/MLST8/STK11/ARSB/ATG9B/FOXO1/HIF1A/TBK1/MAPK3/NBR1/TM9SF1/TP53INP2	27
BP	GO:0016236	macroautophagy	20/59	295/18670	7.91723617535767e-22	6.18072237422922e-19	3.99750977415427e-19	ATG16L2/ATG4B/WDR45/ATG2A/BECN1/HDAC6/MAPK8/PRKAB1/TSC1/TSC2/ULK3/CHMP4B/CLN3/MLST8/ATG9B/HIF1A/TBK1/MAPK3/NBR1/TP53INP2	20
BP	GO:0010506	regulation of autophagy	16/59	328/18670	3.16956061445257e-15	1.85577773976198e-12	1.20026255899928e-12	BECN1/HDAC6/MAPK8/PRKAB1/TSC1/TSC2/ULK3/CHMP4B/DAPK2/MLST8/STK11/FOXO1/HIF1A/TBK1/MAPK3/TP53INP2	16
BP	GO:0007033	vacuole organization	12/59	163/18670	1.02297093680238e-13	4.79159586798235e-11	3.099063532755e-11	ATG16L2/ATG4B/WDR45/ATG2A/BECN1/ULK3/CHMP4B/CLN3/GAA/ARSB/ATG9B/TP53INP2	12
BP	GO:0009896	positive regulation of catabolic process	15/59	425/18670	2.85732875530068e-12	1.1153106574857e-09	7.21350189276785e-10	ATG4B/BAX/ARNT/BECN1/HDAC6/TSC1/TSC2/CDKN1B/STK11/FOXO1/HIF1A/TBK1/MAPK3/MAPK9/TP53INP2	15
BP	GO:0010508	positive regulation of autophagy	10/59	120/18670	3.96165076682431e-12	1.32545515655751e-09	8.57265481723337e-10	BECN1/HDAC6/TSC1/TSC2/STK11/FOXO1/HIF1A/TBK1/MAPK3/TP53INP2	10
BP	GO:0016241	regulation of macroautophagy	11/59	171/18670	5.2661663500377e-12	1.54167019897354e-09	9.97107023382138e-10	BECN1/HDAC6/MAPK8/PRKAB1/TSC1/TSC2/CHMP4B/MLST8/HIF1A/TBK1/MAPK3	11
BP	GO:0034599	cellular response to oxidative stress	13/59	302/18670	8.34050582935384e-12	2.17038496137186e-09	1.40374127350178e-09	ARNT/BECN1/HDAC6/MAPK8/PARP1/TSC1/ATF4/P4HB/SPHK1/FOXO1/HIF1A/MAPK3/MAPK9	13
BP	GO:0000045	autophagosome assembly	9/59	93/18670	1.30143645434956e-11	3.04796417608668e-09	1.97133374506213e-09	ATG16L2/ATG4B/WDR45/ATG2A/BECN1/ULK3/CHMP4B/ATG9B/TP53INP2	9
