ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04140	Autophagy - animal	18/48	137/8075	2.05897502023112e-20	3.72674478661832e-18	1.27873185466985e-18	89849/23192/23130/8678/5599/5894/7248/7249/23604/3916/64223/6794/285973/3091/29110/5595/5601/58476	18
hsa04722	Neurotrophin signaling pathway	10/48	119/8075	1.34666166740648e-09	1.21872880900287e-07	4.18173886194644e-08	581/5599/4790/5894/7161/3551/468/5609/5595/5601	10
hsa04141	Protein processing in endoplasmic reticulum	11/48	171/8075	3.19070188502633e-09	1.73304221458993e-07	5.94646645308554e-08	581/5599/3312/468/5609/5034/22926/821/51360/3326/5601	11
hsa05215	Prostate cancer	9/48	97/8075	4.0727773109905e-09	1.73304221458993e-07	5.94646645308554e-08	2064/4790/5894/1027/3551/468/2308/3326/5595	9
hsa04137	Mitophagy - animal	8/48	68/8075	4.78740943256887e-09	1.73304221458993e-07	5.94646645308554e-08	8678/5599/468/285973/3091/29110/5601/4077	8
hsa05167	Kaposi sarcoma-associated herpesvirus infection	11/48	193/8075	1.14229037783109e-08	3.04764882119359e-07	1.04571840913301e-07	581/8678/5599/4790/5894/3551/5609/3091/29110/5595/5601	11
hsa05212	Pancreatic cancer	8/48	76/8075	1.17864871537874e-08	3.04764882119359e-07	1.04571840913301e-07	581/2064/5599/4790/5894/3551/5595/5601	8
hsa05161	Hepatitis B	10/48	162/8075	2.71451925540163e-08	6.14159981534619e-07	2.10732415879863e-07	581/5599/4790/5894/3551/468/5609/29110/5595/5601	10
hsa04211	Longevity regulating pathway	8/48	89/8075	4.16732917037786e-08	8.38096199820437e-07	2.87570083102098e-07	581/4790/5564/7248/7249/468/6794/2308	8
hsa04068	FoxO signaling pathway	9/48	131/8075	5.80270354900451e-08	1.05028934236982e-06	3.60378430938175e-07	5599/5564/5894/1027/3551/6794/2308/5595/5601	9
hsa04210	Apoptosis	9/48	136/8075	8.03663262281347e-08	1.19236692994418e-06	4.09128519143394e-07	581/5599/4790/142/5894/3551/468/5595/5601	9
hsa04151	PI3K-Akt signaling pathway	13/48	354/8075	8.49233032510636e-08	1.19236692994418e-06	4.09128519143394e-07	2064/4790/5894/7248/7249/1027/3551/468/3688/64223/6794/3326/5595	13
hsa04910	Insulin signaling pathway	9/48	137/8075	8.5639613752897e-08	1.19236692994418e-06	4.09128519143394e-07	5599/5564/5894/7248/7249/3551/2308/5595/5601	9
hsa05162	Measles	9/48	139/8075	9.70990837299896e-08	1.25535243965201e-06	4.30740296245819e-07	581/5599/4790/7161/1027/3312/3551/29110/5601	9
hsa04012	ErbB signaling pathway	7/48	85/8075	5.79151883948491e-07	6.98843273297845e-06	2.3978920107341e-06	2064/5599/5894/1027/5609/5595/5601	7
hsa04010	MAPK signaling pathway	11/48	294/8075	8.39147780247597e-07	9.49285926405094e-06	3.25721835754001e-06	2064/5599/4790/5894/3312/3551/468/5609/9479/5595/5601	11
hsa04136	Autophagy - other	5/48	32/8075	1.07010812325966e-06	1.13511906047224e-05	3.89485458376634e-06	23192/23130/8678/64223/285973	5
hsa04657	IL-17 signaling pathway	7/48	94/8075	1.15367842506496e-06	1.13511906047224e-05	3.89485458376634e-06	5599/4790/3551/3326/29110/5595/5601	7
hsa05135	Yersinia infection	8/48	137/8075	1.19156144469462e-06	1.13511906047224e-05	3.89485458376634e-06	5599/4790/3551/3688/5609/29110/5595/5601	8
hsa05131	Shigellosis	10/48	246/8075	1.35387487443265e-06	1.22525676136155e-05	4.20413776797506e-06	581/8678/5599/4790/3551/3688/2308/29110/5595/5601	10
hsa01522	Endocrine resistance	7/48	98/8075	1.53163207087353e-06	1.2601154764914e-05	4.32374603739416e-06	581/2064/5599/5894/1027/5595/5601	7
hsa05231	Choline metabolism in cancer	7/48	98/8075	1.53163207087353e-06	1.2601154764914e-05	4.32374603739416e-06	5599/5894/7248/7249/3091/5595/5601	7
hsa04933	AGE-RAGE signaling pathway in diabetic complications	7/48	100/8075	1.75644801483396e-06	1.38224822036934e-05	4.74281157323587e-06	581/5599/4790/1027/2308/5595/5601	7
hsa04620	Toll-like receptor signaling pathway	7/48	104/8075	2.2896289066056e-06	1.65769132838245e-05	5.68792023114653e-06	5599/4790/3551/5609/29110/5595/5601	7
hsa04660	T cell receptor signaling pathway	7/48	104/8075	2.2896289066056e-06	1.65769132838245e-05	5.68792023114653e-06	5599/4790/5894/3551/5609/5595/5601	7
hsa05165	Human papillomavirus infection	11/48	331/8075	2.69149425485156e-06	1.85896417924838e-05	6.37853367697904e-06	581/4790/5894/7248/7249/1027/3551/3688/2308/29110/5595	11
hsa04659	Th17 cell differentiation	7/48	107/8075	2.77304048838157e-06	1.85896417924838e-05	6.37853367697904e-06	5599/4790/3551/3091/3326/5595/5601	7
hsa04920	Adipocytokine signaling pathway	6/48	69/8075	2.88754395710565e-06	1.86659091512901e-05	6.40470276200126e-06	5599/4790/5564/3551/6794/5601	6
hsa05170	Human immunodeficiency virus 1 infection	9/48	212/8075	3.44685524153314e-06	2.15131309902586e-05	7.3816500635374e-06	581/5599/4790/5894/3551/5609/29110/5595/5601	9
hsa04668	TNF signaling pathway	7/48	112/8075	3.76744211533108e-06	2.19970007379008e-05	7.54767690337975e-06	5599/4790/3551/468/5609/5595/5601	7
hsa05145	Toxoplasmosis	7/48	112/8075	3.76744211533108e-06	2.19970007379008e-05	7.54767690337975e-06	5599/4790/3312/3551/3688/5595/5601	7
hsa05220	Chronic myeloid leukemia	6/48	76/8075	5.10358009299581e-06	2.88671249010076e-05	9.90497452259056e-06	581/4790/5894/1027/3551/5595	6
hsa05163	Human cytomegalovirus infection	9/48	225/8075	5.61644282834988e-06	3.00557158669357e-05	1.03128074216296e-05	581/4790/5894/7248/7249/3551/468/29110/5595	9
hsa04071	Sphingolipid signaling pathway	7/48	119/8075	5.64582507997687e-06	3.00557158669357e-05	1.03128074216296e-05	581/5599/4790/5894/8877/5595/5601	7
