ID	TCGA-CV-6959-11A-01R-1915-07	TCGA-CV-6961-11A-01R-1915-07	TCGA-HD-8635-11A-01R-2403-07	TCGA-CV-7255-11A-01R-2016-07	TCGA-HD-A6HZ-11A-11R-A31N-07	TCGA-CV-7406-11A-01R-2081-07	TCGA-CV-6939-11A-01R-1915-07	TCGA-H7-A6C4-11A-21R-A466-07	TCGA-CV-7103-11A-01R-2016-07	TCGA-CV-6933-11A-01R-1915-07	TCGA-CV-6943-11A-01R-1915-07	TCGA-CV-7438-11A-01R-2132-07	TCGA-CV-6956-11A-01R-2016-07	TCGA-CV-7238-11A-01R-2016-07	TCGA-CV-6934-11A-01R-1915-07	TCGA-CV-7104-01A-11R-2016-07	TCGA-F7-A61W-01A-11R-A28V-07	TCGA-F7-A620-01A-11R-A28V-07	TCGA-C9-A47Z-01A-11R-A24H-07	TCGA-CV-7446-01A-11R-2232-07	TCGA-HD-7831-01A-11R-2132-07	TCGA-CV-5979-01A-11R-1686-07	TCGA-CV-6952-01A-11R-1915-07	TCGA-CV-7180-01A-11R-2016-07	TCGA-CV-A465-01A-11R-A266-07	TCGA-CV-6950-01A-11R-1915-07	TCGA-CN-6998-01A-23R-2016-07	TCGA-CR-6493-01A-11R-1873-07	TCGA-DQ-7591-01A-11R-2081-07	TCGA-WA-A7H4-01A-21R-A34R-07	TCGA-CQ-A4CE-01A-11R-A266-07	TCGA-CV-6961-01A-21R-1915-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-BB-4225-01A-01R-1436-07	TCGA-C9-A480-01A-12R-A24H-07	TCGA-CN-A6UY-01A-12R-A34R-07	TCGA-CN-6017-01A-11R-1686-07	TCGA-BB-4228-01A-01R-1436-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-F7-A50G-01A-11R-A266-07	TCGA-CV-6441-01A-11R-1686-07	TCGA-CR-6472-01A-11R-1873-07	TCGA-CN-4742-01A-02R-1514-07	TCGA-BA-4074-01A-01R-1436-07	TCGA-DQ-5631-01A-01R-1873-07	TCGA-BB-A6UO-01A-12R-A34R-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-6941-01A-11R-1915-07	TCGA-CR-5250-01A-01R-1514-07	TCGA-F7-A50J-01A-21R-A28V-07	TCGA-QK-A652-01A-11R-A30B-07	TCGA-CV-A6JO-01B-11R-A34R-07	TCGA-CV-A45P-01A-11R-A24H-07	TCGA-CV-5977-01A-11R-1686-07	TCGA-MT-A67A-01A-11R-A30B-07	TCGA-D6-A4Z9-01A-11R-A24Z-07	TCGA-D6-6825-01A-21R-1915-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-P3-A5QE-01A-11R-A28V-07	TCGA-P3-A5QA-01A-11R-A28V-07	TCGA-CQ-6218-01A-11R-1915-07	TCGA-CR-6488-01A-12R-2081-07	TCGA-CN-5370-01A-01R-2016-07	TCGA-IQ-A61J-01A-11R-A30B-07	TCGA-CQ-5325-01A-01R-1686-07	TCGA-CQ-6229-01A-11R-1915-07	TCGA-UP-A6WW-01A-12R-A34R-07	TCGA-CN-A642-01A-12R-A30B-07	TCGA-CR-7394-01A-11R-2016-07	TCGA-CV-6003-01A-11R-1686-07	TCGA-CN-4736-01A-01R-1436-07	TCGA-CQ-7065-01A-11R-2081-07	TCGA-BA-A6DB-01A-11R-A30B-07	TCGA-CR-7397-01A-11R-2016-07	TCGA-CQ-5330-01A-01R-1686-07	TCGA-IQ-A6SH-01A-12R-A34R-07	TCGA-BA-A6DE-01A-22R-A31N-07	TCGA-CV-6433-01A-11R-1686-07	TCGA-CQ-A4CA-01A-11R-A24Z-07	TCGA-HD-8314-01A-11R-2403-07	TCGA-CV-6945-01A-11R-1915-07	TCGA-BA-4075-01A-01R-1436-07	TCGA-KU-A6H8-01A-21R-A34R-07	TCGA-UF-A7JS-01A-11R-A34R-07	TCGA-CQ-6219-01A-11R-1915-07	TCGA-MZ-A7D7-01A-21R-A34R-07	TCGA-QK-AA3K-01A-11R-A39I-07	TCGA-BB-4224-01A-01R-1436-07	TCGA-IQ-A6SG-01A-12R-A34R-07	TCGA-CN-4737-01A-01R-1436-07	TCGA-DQ-5624-01A-01R-1873-07	TCGA-CQ-6224-01A-11R-1915-07	TCGA-CR-7392-01A-11R-2016-07	TCGA-DQ-5625-01A-01R-1873-07	TCGA-CV-5973-01A-11R-1686-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-7236-01A-11R-2016-07	TCGA-IQ-A61H-01A-11R-A30B-07	TCGA-CV-6951-01A-11R-1915-07	TCGA-CN-4733-01A-02R-1873-07	TCGA-BA-7269-01A-11R-2016-07	TCGA-CN-6996-01A-11R-1915-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-MT-A51X-01A-11R-A266-07	TCGA-CV-6954-01A-11R-1915-07	TCGA-CQ-A4CH-01A-11R-A266-07	TCGA-T2-A6WZ-01A-21R-A34R-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-CQ-5333-01A-01R-2403-07	TCGA-CQ-7072-01A-21R-A30B-07	TCGA-IQ-A61E-01A-22R-A30B-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-A6JT-01A-11R-A31N-07	TCGA-CN-5367-01A-01R-1436-07	TCGA-CV-5971-01A-11R-1686-07	TCGA-BA-6871-01A-11R-1873-07	TCGA-CV-A45T-01A-11R-A24H-07	TCGA-F7-A61S-01A-11R-A28V-07	TCGA-CR-6477-01A-11R-1873-07	TCGA-CV-6436-01A-11R-1686-07	TCGA-CR-7372-01A-11R-2016-07	TCGA-D6-A4ZB-01A-11R-A24Z-07	TCGA-HD-8224-01A-11R-2403-07	TCGA-CR-7390-01A-11R-2016-07	TCGA-CV-5439-01A-01R-1686-07	TCGA-CQ-5327-01A-01R-1686-07	TCGA-CR-7393-01A-11R-2016-07	TCGA-CN-4725-01A-01R-1436-07	TCGA-CV-A45R-01A-11R-A24H-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-D6-6515-01A-21R-1873-07	TCGA-CV-5976-01A-11R-1686-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CX-7085-01A-21R-2016-07	TCGA-CN-6016-01A-11R-1686-07	TCGA-CN-6024-01A-11R-1686-07	TCGA-CR-7401-01A-11R-2016-07	TCGA-DQ-7592-01A-11R-2081-07	TCGA-4P-AA8J-01A-11R-A39I-07	TCGA-CV-5970-01A-11R-1686-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-D6-8569-01A-11R-2403-07	TCGA-CQ-6222-01A-11R-1915-07	TCGA-CV-A6K0-01B-21R-A31N-07	TCGA-CN-A498-01A-11R-A24H-07	TCGA-HD-8634-01A-11R-2403-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CR-7382-01A-11R-2132-07	TCGA-BA-6873-01A-11R-1873-07	TCGA-BA-A6DG-01A-21R-A30B-07	TCGA-CN-6019-01A-11R-1686-07	TCGA-F7-A61V-01A-11R-A28V-07	TCGA-BA-4077-01B-01R-1436-07	TCGA-CN-A6V6-01A-12R-A34R-07	TCGA-CR-7391-01A-11R-2016-07	TCGA-CQ-5329-01A-01R-1686-07	TCGA-CQ-6221-01A-11R-2081-07	TCGA-DQ-5630-01A-01R-1873-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-D6-6823-01A-11R-1915-07	TCGA-CV-A6JU-01A-11R-A31N-07
AMBRA1	4.406476	3.917998	5.057965	5.731163	1.667632	2.492274	3.753895	2.745444	5.704029	3.226846	3.672393	4.742151	4.38276	3.805067	8.177494	6.515168	4.862112	4.81142	3.983638	6.23104	5.37756	5.007724	4.506815	3.660964	4.001756	5.256947	3.6572	6.033935	4.907384	4.082938	4.426329	5.007266	5.224191	10.22784	5.207322	3.887984	5.653684	6.016987	5.696921	4.041701	5.338122	7.237916	13.48683	1.092703	6.255578	2.647346	6.53128	5.43425	7.797376	5.627251	6.626456	5.231322	3.676218	5.534498	2.704229	3.119561	6.247649	6.198576	8.815144	7.021601	3.416654	4.277567	9.852368	6.042336	4.322508	5.142939	2.949661	5.054334	4.555619	7.620047	4.477981	5.525501	6.215506	3.542667	5.391614	5.780559	3.319371	6.322854	5.714126	4.390242	4.724662	2.330776	2.042457	3.443706	1.411194	5.018995	2.267256	5.522534	7.878646	5.850559	6.153316	3.03096	5.415127	12.41743	4.575672	3.32601	2.958574	5.363971	4.836488	4.236481	6.146538	0.9056764	6.338403	4.273512	3.891349	5.195508	4.708126	2.412663	4.349006	4.948156	4.315043	4.295091	2.635272	2.860601	5.632852	3.572909	4.314819	4.581242	4.120293	4.566316	2.592825	6.051784	2.359378	5.132672	4.692345	3.983729	4.75417	5.221802	4.79697	3.475708	3.280797	7.589955	5.078354	6.051961	5.052428	5.233457	6.034727	4.341443	6.271491	4.144709	5.708937	4.410457	7.446589	4.009209	4.701505	2.287908	4.404705	3.434648	9.062702	5.925043	3.305546	4.478651	3.945151	4.708944	5.430243	4.400892	3.35685	4.652279	3.619931	6.200543	5.544577	2.751869
APOL1	10.30644	3.476566	36.87634	42.30202	10.99205	6.197293	8.4283	4.139099	9.314908	6.052865	8.269496	26.27887	45.25486	5.40605	132.9818	570.2114	54.46771	149.0295	26.3981	18.93204	9.01644	72.31632	311.0805	41.41763	34.01245	266.6661	92.70124	23.31305	34.9313	19.16499	77.81881	499.3941	157.0143	58.16734	31.60778	51.33962	179.9701	7.027516	42.72671	63.68765	312.2766	40.65019	21.23383	116.3217	13.75599	56.26041	434.9007	132.2216	36.61623	92.81408	93.26674	69.6344	134.597	72.70364	26.56884	134.8102	244.8451	71.91434	83.46855	38.43938	14.63184	58.87546	28.73994	118.5138	175.7284	112.5313	105.195	52.34841	93.67204	182.3238	130.238	164.3068	21.46749	61.93965	35.4857	156.1457	207.5007	58.48205	47.9947	165.5013	58.41427	173.0357	10.03216	18.14879	96.28372	70.56936	7.575878	45.04104	18.80788	54.51895	13.4651	86.25767	113.8432	163.7275	88.09118	63.97787	59.95273	54.6697	50.63081	164.6487	270.0371	129.4054	427.7409	70.5888	30.48704	238.7426	5.544929	20.19501	218.8497	137.8059	39.0041	189.5173	73.02688	67.22848	74.39756	78.86087	37.62176	88.57571	343.2823	27.39823	112.1268	29.62731	253.1933	19.61085	89.12484	134.73	261.9091	24.26509	18.47081	124.6431	102.1767	208.5614	80.70212	48.50418	144.598	104.1853	20.7203	61.61574	84.19465	102.0307	61.49424	7.973093	51.00085	166.7082	59.0458	265.5091	59.1025	485.5549	61.80493	148.6165	38.30789	16.21269	49.00464	154.917	129.6213	27.27237	192.904	47.2113	477.5513	119.8108	33.41687	37.64832
ARNT	5.773747	4.086565	6.458391	6.434081	2.850432	5.294635	7.052708	5.338957	7.205052	3.808143	6.36079	5.86446	5.713153	5.981265	6.041453	8.230332	6.894839	3.42083	4.898929	10.03602	9.255312	8.997607	5.468389	4.696501	4.456699	7.022749	7.076299	7.915508	9.71034	6.919755	4.369162	8.83839	8.363178	7.01324	6.899138	4.062425	8.995909	11.40782	7.477706	7.534396	8.042085	18.39535	7.12336	4.878838	8.097347	3.830286	7.086484	8.655774	11.26393	3.625452	5.561275	7.67648	4.68498	5.64962	2.845233	6.549426	9.119562	12.91778	9.076152	7.98877	7.668962	4.954416	8.273029	10.03714	8.856538	7.286523	7.029671	5.636728	6.093156	8.099287	3.941414	7.935888	5.379824	4.851808	8.859523	6.36328	4.359537	7.472814	8.719116	8.007076	12.95379	4.337564	5.341161	7.379727	3.050713	5.292963	4.519274	8.085222	8.449298	8.043404	8.311154	5.735301	6.987391	8.587805	8.274902	4.737959	8.157632	7.032732	9.070117	9.76901	9.363809	7.143072	6.642464	5.568361	6.414039	8.384741	9.664157	2.897508	5.076488	5.229452	8.848823	6.222589	6.941062	2.536644	10.31962	11.79212	8.089973	4.829175	3.4904	12.5837	2.224751	6.700743	6.590695	13.65348	10.61164	6.954644	5.754712	9.962476	10.03107	8.158842	5.626464	8.14291	7.687392	8.442447	8.07809	8.937639	6.862205	7.243111	7.547953	4.80877	7.216825	8.912131	7.082679	6.236667	8.089491	9.828626	5.138887	7.328488	8.388309	7.082702	7.16071	7.835773	4.779989	7.228754	8.02751	8.135669	6.907176	11.78381	6.994771	9.564936	8.455377	3.071429
ARSA	6.595894	6.382675	12.22939	9.115217	13.76049	5.531927	10.76876	4.58184	6.478306	17.43522	8.283344	5.890989	14.32831	11.80644	22.20885	18.31508	21.7762	19.5082	13.12994	2.951809	16.21469	29.41362	15.72747	12.04368	11.34936	14.03959	14.51998	7.928909	14.1607	18.15376	9.555997	11.10331	10.16999	8.584276	8.802885	9.589484	28.25067	7.342579	12.78262	15.448	11.02105	6.440259	15.95817	7.091777	13.38224	24.06764	21.08297	30.38707	19.22056	12.11739	19.44263	28.15364	16.91835	8.06309	18.5717	6.90167	12.51675	13.33045	13.16212	13.70865	10.28075	15.97731	19.17717	11.75584	20.74049	17.82953	13.30725	21.12863	19.93745	16.59764	56.65356	15.55463	8.437237	17.29568	17.42447	18.4802	47.50388	9.212253	13.88362	39.53521	12.86072	5.129099	9.289919	6.771504	27.13308	15.4917	18.16949	19.31755	7.148214	13.98235	15.0574	10.26617	16.71243	25.14548	25.94911	21.1718	21.75862	23.17702	6.165461	11.18433	37.90662	22.65664	17.44335	21.46447	14.02234	8.275175	14.27358	16.57225	11.65306	29.2479	16.5353	15.5525	29.66926	51.85681	10.20617	10.79316	9.945417	20.20108	20.56607	5.675189	15.07576	19.47312	17.91633	11.79221	10.12166	17.11671	11.58224	17.4041	10.77	21.17945	15.60189	16.40938	12.68589	8.227672	23.50062	20.20642	17.9561	32.74646	5.646819	17.1192	16.43243	13.13208	9.662965	12.36134	17.74083	8.971527	15.06505	10.00254	14.97989	13.88116	18.66337	12.97	13.97216	18.4054	15.56171	16.05273	14.61055	7.849919	16.86175	23.28521	15.1504	37.29524
ARSB	0.8141324	0.5024043	0.7839282	1.168651	0.2769751	0.8512212	1.612284	0.6396384	0.7246665	0.7359981	0.4000073	0.796565	0.6853234	1.036958	0.6143193	1.508262	1.533315	0.8083676	0.4019011	2.18765	4.217499	0.9317442	1.239662	0.3930732	0.4533087	1.805994	0.5240626	0.6362633	4.783117	2.39996	0.6468322	3.048229	1.639243	2.070917	0.5240455	2.20731	3.617891	2.141528	1.266545	0.9401541	2.27193	1.932032	2.405553	1.665821	1.728524	1.041179	2.796158	2.714946	2.785878	0.8894341	0.9076865	1.080595	0.6789068	0.7201853	0.695955	1.212999	1.868757	2.989263	4.368373	4.080764	1.687379	1.084657	2.308608	4.561971	1.460395	2.568629	0.7565555	3.012064	1.152979	2.66722	1.383878	2.998485	0.4851369	1.347243	3.554644	2.955843	0.9085691	0.6018666	2.802087	1.195908	2.476189	1.687859	1.098679	1.278202	0.382171	2.32452	0.6923156	3.697509	0.8165216	1.627531	2.415093	1.767732	2.640481	2.709045	1.494842	0.3248118	2.747181	2.480877	1.889782	0.9545539	3.281683	1.180921	2.136677	1.304475	0.9436939	1.283132	1.280347	0.6480374	0.4785085	2.262386	3.581824	1.157005	2.195356	1.073901	1.417845	4.230461	3.155629	1.159352	1.076986	2.769368	0.6538795	2.05422	1.619868	1.70494	1.474311	0.7967808	1.231838	2.914024	0.8634969	0.9856457	0.9990933	4.50155	1.303141	0.6674156	3.285449	3.294909	1.566525	1.758113	1.379038	2.304466	1.40708	3.706671	1.904556	2.122132	2.024132	2.128537	0.8595689	2.647781	5.599864	1.774239	1.723081	4.189531	0.4662124	3.603028	1.715244	1.812988	2.557709	3.717506	1.989005	4.19663	1.15138	0.5562117
ATF4	65.88046	98.25686	74.8281	103.8805	153.5118	138.0878	64.64376	90.52615	65.11988	151.0113	85.83268	88.97145	107.1027	121.2319	83.84449	61.08089	123.8514	160.0543	82.3195	97.58108	90.65424	80.09861	93.40989	103.91	98.66095	81.79408	68.59247	47.86653	131.568	133.1318	112.5335	56.8844	127.5371	94.80457	42.26929	224.0804	85.08157	179.8605	91.94749	82.2978	110.1418	47.41992	51.17892	144.3409	68.17572	108.8022	69.40679	80.04764	142.8605	127.8181	156.2964	74.824	94.36792	111.4743	178.2094	58.29408	53.30839	75.87538	111.2306	212.2289	136.1472	69.52269	64.43516	66.55195	91.84765	67.62305	130.2839	188.5678	142.5913	96.65452	114.5536	109.3656	29.72674	126.989	82.46303	87.24654	154.5316	62.55646	163.5428	91.63087	117.3668	72.14651	105.5104	82.9764	142.4563	92.14615	134.8054	135.0933	124.1657	75.20085	73.72316	108.817	89.80409	56.50954	97.91942	58.28597	87.47705	75.2077	133.6759	99.28316	100.5837	158.1873	93.15607	107.854	114.4613	68.57234	82.07329	221.659	78.89967	141.0471	153.8557	118.0834	77.21806	98.96338	101.2463	82.49725	152.0855	117.0857	184.3349	44.91458	124.0177	68.04994	128.1124	100.0843	91.44143	123.0022	100.481	53.52543	65.57714	91.9045	123.35	87.19259	108.4046	47.53218	86.851	78.75777	173.1749	99.00939	58.82439	118.3618	76.93002	66.14986	77.03492	85.2038	88.35181	109.8152	111.1873	110.8237	81.35561	75.4828	127.8389	136.1551	146.7511	105.0704	137.6519	65.70415	97.69962	64.38216	101.6327	113.4318	118.6981	196.1958
ATF6	6.432439	6.399768	7.66992	8.562581	2.329222	5.015634	5.723828	3.78368	6.598928	6.675121	7.275495	7.41878	6.459402	7.066004	9.495893	10.35079	6.990853	5.965525	3.270487	15.69865	8.013908	10.20369	7.938471	6.146914	5.316662	6.60908	8.10212	5.477338	7.165621	9.379928	5.336598	10.86519	8.11071	7.427115	7.396439	5.309562	7.792177	9.779096	7.511483	6.058446	10.35534	12.30137	8.728735	8.095624	11.94017	6.274668	7.191074	8.274924	9.455769	4.541248	5.69903	7.665541	5.259176	7.02278	2.808809	8.662191	10.01493	12.96989	11.35804	7.101813	5.344613	7.388458	7.865245	8.981201	7.327182	5.75942	7.808507	5.401538	7.200845	10.48468	6.030684	8.439386	8.31641	5.633969	8.079212	6.641459	6.916938	10.2619	5.689531	5.888167	9.765836	4.70526	7.300646	4.900966	5.105466	6.890762	4.763167	6.916511	6.019218	7.239293	7.457452	9.003545	6.044521	9.052374	9.71608	4.041203	5.735141	9.26675	11.26127	10.63626	9.990828	6.054444	7.252395	6.666543	7.960386	8.879941	7.0778	3.781025	6.271426	6.151473	7.005872	7.902832	8.683793	2.932862	12.25738	7.116182	9.177824	5.949291	6.109269	6.514501	2.44656	5.573389	7.692333	10.93764	6.093076	6.076554	7.126493	8.131126	7.127097	8.672339	6.005508	8.444353	5.536074	10.20005	8.681289	7.416026	5.08594	6.872434	8.84783	6.833471	10.05912	8.693199	6.796462	5.959601	6.994556	12.30999	6.276903	6.2713	10.57078	6.315487	5.925376	8.011856	5.69274	8.264991	9.213119	7.629852	7.272552	8.624748	7.808699	8.662635	6.976934	5.047256
ATG10	0.9433822	1.088478	0.9484442	1.356689	0.97046	0.6044919	0.5233703	0.9631842	0.9024853	0.5029388	1.221832	1.513904	1.125515	0.7216576	0.7716454	0.7034624	1.36303	0.6245595	0.6509129	0.7852653	0.7492532	0.6079557	0.9617297	0.6530407	1.209413	0.5787419	0.8609153	0.5566165	1.925164	1.685716	1.051424	1.563138	0.9568281	0.8453929	1.066995	3.020016	0.9751165	1.821968	0.4252573	1.585515	2.53434	1.162827	0.6575918	2.236227	1.414016	1.117473	0.8956051	1.103513	1.866397	0.7766121	0.9118273	1.301221	0.9127269	1.027009	1.205477	0.7225006	0.6494481	3.262681	1.538302	2.487217	1.178765	1.079442	0.7867676	0.9159429	0.7725708	0.808019	0.8272445	1.98282	1.444915	0.7918761	0.8778928	1.945981	0.687685	1.15702	1.122581	0.7472245	1.809355	0.9155363	2.610453	1.87753	1.077838	1.899438	2.294747	1.45363	1.193786	1.696077	2.545649	2.139375	1.984611	1.382736	0.5074593	1.216806	0.655664	0.7736985	1.817613	0.7205408	0.6625791	0.9715253	0.9793398	0.4722624	1.505431	1.227141	0.8358422	0.6292869	0.9667778	0.5766099	0.9613293	1.897437	0.6598418	1.281912	1.188685	0.8732972	1.198821	1.72958	1.356881	1.190311	1.540711	1.267554	1.485031	1.256577	0.9628615	0.6648219	1.157224	1.438372	0.75191	1.797027	0.7207974	0.6894869	0.7203634	1.171777	0.9630016	1.086996	0.8972423	1.059907	0.7821787	0.8640317	0.8416341	0.9390776	0.6186874	2.3074	0.9763743	0.9743636	1.299863	1.103966	1.255527	1.726287	0.7860567	0.8861463	0.9438691	0.8693002	1.20252	0.8671104	0.5210597	1.978384	1.381038	0.9664936	1.076567	0.9250663	0.9709331	0.4062915	0.3033755	1.037088
ATG12	2.313452	1.892393	2.511381	2.558517	2.431271	1.919734	1.870182	2.218449	2.028154	1.315782	2.354481	2.216728	3.077507	2.249728	2.278065	3.012931	3.113775	4.534355	3.416651	4.812439	3.630477	2.041778	3.592392	4.232063	4.615788	2.766775	4.970388	3.893905	5.342263	5.061245	2.872004	4.714102	1.605131	2.433701	4.189799	5.234435	2.42949	4.016751	2.367681	4.132812	5.367657	4.508729	2.560562	9.777608	4.005861	3.782909	2.541419	4.020392	3.463465	3.788036	2.755956	3.262907	3.111037	6.523335	3.342977	3.917859	3.77883	3.881957	5.342947	4.907123	4.226049	3.942037	2.644151	3.822467	4.316478	3.267998	2.529736	4.191427	4.816474	2.559535	2.342389	3.535922	2.423753	3.078941	2.947595	3.618749	3.667517	7.769071	5.895592	3.547627	3.760094	3.838523	7.533676	2.280585	2.495661	4.299647	5.008665	6.220803	4.616418	3.637916	5.511092	3.337185	4.061189	3.801616	3.120127	2.741142	3.527612	3.600545	2.561739	2.611817	3.280213	3.060516	4.14679	3.445278	4.61261	3.936891	3.44358	2.703566	3.052575	3.706232	4.900705	4.595111	4.847406	3.402855	2.932079	3.435966	3.304512	3.661939	5.19038	2.404817	2.82357	2.127632	4.55144	4.684321	2.146477	5.005981	3.268407	2.421198	2.680857	2.529682	2.35568	2.99884	3.163759	2.57921	2.88719	2.844385	2.979391	3.314251	3.315372	5.780471	2.86496	2.845944	5.757218	2.575649	3.975722	4.53756	3.554092	4.389075	4.15685	2.968415	4.549726	3.182591	1.981539	4.899241	4.114558	2.632854	4.423209	3.6186	3.855072	4.388321	2.358108	2.334369
ATG16L1	3.700735	3.519299	4.85523	4.870949	1.290142	4.368026	2.77578	3.467751	3.133503	1.521144	4.096453	3.544849	4.827644	3.166091	5.506686	5.476154	6.37126	4.202865	3.179853	5.850457	3.629403	5.246562	4.54328	4.423836	3.787395	7.384345	9.811779	4.139999	7.143643	6.03562	3.818988	5.634224	4.680122	3.323172	4.127465	5.158922	4.16874	5.276332	4.523459	4.538858	6.543844	2.675095	2.727154	6.539772	5.067293	4.9791	2.899568	3.675962	5.232705	2.076363	5.392795	6.871859	3.253035	4.038597	3.751168	8.079544	5.527105	5.342062	5.618817	6.751423	4.520101	2.281993	5.865905	3.418764	4.720989	4.874006	5.247071	3.092712	5.832939	3.242714	3.776666	3.737808	3.098392	4.933462	4.006336	4.538005	3.634487	5.654834	2.096314	4.013941	6.111128	3.240335	5.94152	4.390325	2.452129	4.826649	4.462064	4.014202	6.205473	3.066488	5.546412	4.647555	5.119774	3.370299	4.392576	2.200735	3.316276	5.893869	5.397903	6.229718	4.284427	1.537101	4.838128	3.668717	5.792806	3.197463	4.083804	3.034381	2.866882	3.721175	4.734001	3.547712	6.964011	2.600959	5.003998	4.380744	3.912613	4.291236	4.490217	2.54005	1.539689	3.525665	3.981921	4.012483	7.968432	6.097779	4.37198	3.004271	5.773689	3.129062	6.89602	3.690912	6.153407	6.996037	3.606367	3.274908	2.599366	3.734608	2.541806	3.824128	3.721865	2.836271	6.811161	4.388141	4.744553	4.061252	5.670265	5.274392	6.895102	5.347672	4.297877	4.657182	4.871826	3.400862	3.480133	3.031771	4.985025	2.726189	5.586454	3.233994	6.678139	3.242171
