gene	KM	B	SE	HR	HR.95L	HR.95H	pvalue
AC092747.4	0.008491649	-0.308342881	0.08798948	0.734663372	0.618289124	0.872941557	0.000457783
AL122010.1	0.009576032	-0.921169241	0.269694988	0.398053349	0.234626192	0.675314495	0.000636425
AC139530.1	0.014387049	-0.655770606	0.296989873	0.519041932	0.290004146	0.928967847	0.027240291
AC009318.2	0.028789617	-1.052054781	0.439025146	0.349219442	0.147706474	0.825652491	0.016559592
MIR503HG	0.034482267	-0.296108944	0.147196605	0.743706402	0.557323739	0.992419976	0.044256205
AL160006.1	0.035546769	-0.457007319	0.177605477	0.633175706	0.447039797	0.896813835	0.010077459
LINC01711	0.039851618	-0.878423097	0.393152013	0.4154375	0.192244576	0.897753892	0.025462746
AL139287.1	0.045568644	-0.175486367	0.079949607	0.839048836	0.717354802	0.981387378	0.028166308
LINC02560	0.047494612	-0.0513004	0.02174922	0.94999325	0.910348224	0.991364788	0.018337907
AC010326.3	0.048411776	-0.343758732	0.14868992	0.70909999	0.529837131	0.94901389	0.020782266
