LncRNA	Coefficient	Hazard Ratio	95% Confidence Interval	Prognostic value
AC010326.3	0.3919 	1.4798 	0.9768-2.2417 	Risk
AL160006.1	-0.3971 	0.6723 	0.4529-0.9978 	Protctivce
AL122010.1	-0.4357 	0.6468 	0.3555-1.1767 	Protctivce
AC139530.1	-0.9133 	0.4012 	0.1923-0.8372 	Protctivce
AC092747.4	-0.1894 	0.8274 	0.6770-1.0112 	Protctivce
AL139287.1	0.2274 	1.2553 	1.0076-1.5640 	Risk
MIR503HG	-0.2733 	0.7609 	0.5699-1.0159 	Protctivce
AC009318.2	-0.7450 	0.4747 	0.2130-1.0580 	Protctivce
LINC01711	-1.3486 	0.2596 	0.1021-0.6600 	Protctivce
LINC02560	-0.0652 	0.9369 	0.8897-0.9866 	Protctivce
